enter,number,of,instance,to,run,,
Enter,TTP,instance,file:,,,,
Instance,:pcb3038_n9111_uncorr-similar-weights_01.ttp,,,,,,
RESULTS,FOR,heuristics,:,20,,,
pcb3038_n9111_uncorr-similar-weights_01.ttp:,329,831665,718067,140240,193001.3016,312764.2666,59616
pcb3038_n9111_uncorr-similar-weights_01.ttp:,324,831670,715007,140123,193131.8771,309430.0582,58064
pcb3038_n9111_uncorr-similar-weights_01.ttp:,241,831753,716075,140064,190485.8759,316054.6606,54676
pcb3038_n9111_uncorr-similar-weights_01.ttp:,244,831750,719977,140340,190957.0404,318967.2151,62258
pcb3038_n9111_uncorr-similar-weights_01.ttp:,204,831790,720092,140146,189897.0381,321308.22,59591
pcb3038_n9111_uncorr-similar-weights_01.ttp:,380,831614,711686,140230,192922.2985,306549.1731,59684
pcb3038_n9111_uncorr-similar-weights_01.ttp:,367,831627,718226,140224,191131.8662,316849.0809,58120
pcb3038_n9111_uncorr-similar-weights_01.ttp:,327,831667,714968,140292,194175.0098,307200.4795,60502
pcb3038_n9111_uncorr-similar-weights_01.ttp:,254,831740,714352,140151,191950.54,311255.866,58096
pcb3038_n9111_uncorr-similar-weights_01.ttp:,374,831620,716324,140034,193719.5309,309512.985,59697
pcb3038_n9111_uncorr-similar-weights_01.ttp:,244,831750,718303,140089,190664.0534,317908.4879,61067
pcb3038_n9111_uncorr-similar-weights_01.ttp:,197,831797,717796,140248,191952.4095,314695.9401,60885
pcb3038_n9111_uncorr-similar-weights_01.ttp:,401,831593,714206,140077,193644.7019,307552.1261,59339
pcb3038_n9111_uncorr-similar-weights_01.ttp:,442,831552,716202,140300,194023.4577,308752.7389,63731
pcb3038_n9111_uncorr-similar-weights_01.ttp:,325,831669,720060,140327,193043.5924,314668.456,54970
pcb3038_n9111_uncorr-similar-weights_01.ttp:,266,831728,720891,140241,191094.1756,319593.2312,59827
pcb3038_n9111_uncorr-similar-weights_01.ttp:,298,831696,718314,140302,191674.218,315798.1422,64763
pcb3038_n9111_uncorr-similar-weights_01.ttp:,308,831686,716050,140302,192777.0355,311218.2254,60505
pcb3038_n9111_uncorr-similar-weights_01.ttp:,415,831579,716460,140194,194427.6459,308161.9436,63491
pcb3038_n9111_uncorr-similar-weights_01.ttp:,303,831691,720278,140108,189929.226,321426.6253,60081
pcb3038_n9111_uncorr-similar-weights_01.ttp:,380,831614,715847,140174,193005.8551,310534.7043,60510
pcb3038_n9111_uncorr-similar-weights_01.ttp:,288,831706,717799,140127,190573.4175,317594.8232,55197
pcb3038_n9111_uncorr-similar-weights_01.ttp:,266,831728,719363,140168,189950.9929,320465.9149,63697
pcb3038_n9111_uncorr-similar-weights_01.ttp:,341,831653,721149,139960,192270.6208,317380.6962,59421
pcb3038_n9111_uncorr-similar-weights_01.ttp:,249,831745,716024,140232,189717.5099,317617.2291,61301
pcb3038_n9111_uncorr-similar-weights_01.ttp:,371,831623,715758,140345,192616.8792,311262.5537,57597
pcb3038_n9111_uncorr-similar-weights_01.ttp:,196,831798,719856,140114,190542.7973,319716.1257,58020
pcb3038_n9111_uncorr-similar-weights_01.ttp:,353,831641,714423,140198,194384.029,306216.5391,58481
pcb3038_n9111_uncorr-similar-weights_01.ttp:,431,831563,715604,140073,193455.2787,309347.9146,60486
pcb3038_n9111_uncorr-similar-weights_01.ttp:,344,831650,715411,140120,193839.3043,308348.461,59697
