RESULTS FOR heuristics : 20
rat195_n194_uncorr_01.ttp: 866.0 7955.0 26445.0 2446 3329.8031681406287 6233.094769386382 849
rat195_n194_uncorr_01.ttp: 1407.0,7414.0,26920.0,2446,3267.0927679171577,7088.746898742851,749
rat195_n194_uncorr_01.ttp:,1207.0,7614.0,27367.0,2448,3344.972955225705,7063.014161779971,631
rat195_n194_uncorr_01.ttp:,940.0,7881.0,26260.0,2448,3293.866150925031,6266.232463885062,629
rat195_n194_uncorr_01.ttp:,1207.0,7614.0,27367.0,2448,3344.972955225705,7063.014161779971,779
rat195_n194_uncorr_01.ttp:,940.0,7881.0,26260.0,2448,3293.866150925031,6266.232463885062,949
rat195_n194_uncorr_01.ttp:,1407.0,7414.0,26920.0,2446,3267.0927679171577,7088.746898742851,745
rat195_n194_uncorr_01.ttp:,1407.0,7414.0,26920.0,2446,3267.0927679171577,7088.746898742851,752
rat195_n194_uncorr_01.ttp:,885.0,7936.0,26165.0,2449,3224.6873862660955,6591.147565364801,769
rat195_n194_uncorr_01.ttp:,1407.0,7414.0,26920.0,2446,3267.0927679171577,7088.746898742851,837
rat195_n194_uncorr_01.ttp:,1407.0,7414.0,26920.0,2446,3267.0927679171577,7088.746898742851,759
rat195_n194_uncorr_01.ttp:,940.0,7881.0,26260.0,2448,3293.866150925031,6266.232463885062,755
rat195_n194_uncorr_01.ttp:,1407.0,7414.0,26920.0,2446,3267.0927679171577,7088.746898742851,801
rat195_n194_uncorr_01.ttp:,716.0,8105.0,26391.0,2448,3301.472029091193,6351.064783416459,729
rat195_n194_uncorr_01.ttp:,940.0,7881.0,26260.0,2448,3293.866150925031,6266.232463885062,777
rat195_n194_uncorr_01.ttp:,869.0,7952.0,26250.0,2449,3333.9753343586885,6012.76972044276,766
rat195_n194_uncorr_01.ttp:,999.0,7822.0,26264.0,2452,3276.855564211607,6373.486725235543,731
rat195_n194_uncorr_01.ttp:,940.0,7881.0,26260.0,2448,3293.866150925031,6266.232463885062,902
rat195_n194_uncorr_01.ttp:,1207.0,7614.0,27367.0,2448,3344.972955225705,7063.014161779971,657
rat195_n194_uncorr_01.ttp:,1407.0,7414.0,26920.0,2446,3267.0927679171577,7088.746898742851,601
rat195_n194_uncorr_01.ttp:,1272.0,7549.0,26247.0,2450,3175.6487352598397,6970.812176972773,689
rat195_n194_uncorr_01.ttp:,1407.0,7414.0,26920.0,2446,3267.0927679171577,7088.746898742851,768
rat195_n194_uncorr_01.ttp:,1207.0,7614.0,27367.0,2448,3344.972955225705,7063.014161779971,548
rat195_n194_uncorr_01.ttp:,940.0,7881.0,26260.0,2448,3293.866150925031,6266.232463885062,806
rat195_n194_uncorr_01.ttp:,866.0,7955.0,26445.0,2446,3329.8031681406287,6233.094769386382,785
rat195_n194_uncorr_01.ttp:,1407.0,7414.0,26920.0,2446,3267.0927679171577,7088.746898742851,711
rat195_n194_uncorr_01.ttp:,940.0,7881.0,26260.0,2448,3293.866150925031,6266.232463885062,592
rat195_n194_uncorr_01.ttp:,1207.0,7614.0,27367.0,2448,3344.972955225705,7063.014161779971,757
rat195_n194_uncorr_01.ttp:,716.0,8105.0,26391.0,2448,3301.472029091193,6351.064783416459,851
rat195_n194_uncorr_01.ttp:,1430.0,7391.0,27678.0,2452,3283.467068451601,7747.3548944987815,631
RESULTS,FOR,heuristics,:,24
rat195_n194_uncorr_01.ttp:,1430.0,7391.0,27678.0,2452,3283.467068451601,7747.3548944987815,599636
rat195_n194_uncorr_01.ttp:,1171.0,7650.0,28234.0,2458,3321.1383335860537,8074.690315132651,598341
rat195_n194_uncorr_01.ttp:,1147.0,7674.0,27499.0,2455,3212.293015262411,8000.381397357167,598991
rat195_n194_uncorr_01.ttp:,1422.0,7399.0,27047.0,2453,3140.2283300186787,7985.814036786618,598857
rat195_n194_uncorr_01.ttp:,1422.0,7399.0,27047.0,2453,3140.2283300186787,7985.814036786618,598930
rat195_n194_uncorr_01.ttp:,1198.0,7623.0,27524.0,2450,3244.100264004334,7832.311397493693,598800
rat195_n194_uncorr_01.ttp:,1463.0,7358.0,26811.0,2450,3223.7095899226665,7243.082789169413,598976
rat195_n194_uncorr_01.ttp:,1198.0,7623.0,27524.0,2450,3244.100264004334,7832.311397493693,598830
rat195_n194_uncorr_01.ttp:,1333.0,7488.0,27105.0,2449,3274.8569160480674,7226.618519588228,599283
rat195_n194_uncorr_01.ttp:,1333.0,7488.0,27105.0,2452,3271.161734028112,7249.04827444936,599240
rat195_n194_uncorr_01.ttp:,1422.0,7399.0,27047.0,2453,3140.2283300186787,7985.814036786618,598547
rat195_n194_uncorr_01.ttp:,1198.0,7623.0,27524.0,2450,3244.100264004334,7832.311397493693,598615
rat195_n194_uncorr_01.ttp:,1221.0,7600.0,27314.0,2453,3164.9199653461183,8102.9358103490595,598517
rat195_n194_uncorr_01.ttp:,1333.0,7488.0,27105.0,2449,3274.8569160480674,7226.618519588228,598360
