11849 11849
0 4581 128
4581 3263 80
3263 6829 112
6829 5702 123
5702 9093 18
9093 4992 129
4992 9255 32
9255 9138 32
9138 2978 96
2978 213 72
213 5926 155
5926 11433 64
11433 6536 48
6536 8630 80
8630 10129 96
10129 4588 112
4588 4535 76
4535 2118 130
2118 1822 32
1822 11132 37
11132 7234 69
7234 2747 32
2747 11147 32
11147 5992 32
5992 7941 128
7941 8913 32
8913 4350 32
4350 11541 96
11541 699 128
699 2887 32
2887 10543 32
10543 8917 32
8917 9731 64
9731 7466 128
7466 8569 160
8569 11422 32
11422 7494 64
7494 7524 64
7524 9022 32
9022 6044 32
6044 7477 37
7477 71 54
71 10877 44
10877 2054 32
2054 965 32
965 9008 32
9008 2179 96
2179 801 224
801 3746 32
3746 2500 32
2500 5175 128
5175 474 107
474 1768 117
1768 866 96
866 770 59
770 11454 139
11454 11796 32
11796 9896 33
9896 5262 56
5262 3077 139
3077 678 110
678 1639 124
1639 1962 130
1962 11661 154
11661 5685 110
5685 7398 110
7398 6865 110
6865 7190 110
7190 6935 182
6935 3766 96
3766 4513 110
4513 3511 110
3511 7777 192
7777 8637 96
8637 2013 64
2013 5121 110
5121 4683 64
4683 4724 96
4724 2425 110
2425 9205 48
9205 8028 48
8028 654 32
654 4865 32
4865 2248 80
2248 2300 80
2300 11375 96
11375 4238 146
4238 4109 110
4109 8879 192
8879 7350 64
7350 6218 64
6218 6089 110
6089 11443 64
11443 6342 64
6342 7868 110
7868 2132 32
2132 6546 32
6546 313 32
313 10579 32
10579 5187 111
5187 5596 144
5596 7067 146
7067 3887 96
3887 5951 64
5951 6138 160
6138 3177 128
3177 7131 96
7131 5924 110
5924 7717 64
7717 8468 32
8468 10906 64
10906 5137 64
5137 2182 80
2182 3140 80
3140 5171 32
5171 414 32
414 11076 48
11076 9091 48
9091 3705 110
3705 9864 110
9864 11448 96
11448 7007 64
7007 6083 128
6083 155 64
155 11563 160
11563 1118 110
1118 3659 128
3659 8839 110
8839 3826 96
3826 9782 110
9782 2038 123
2038 11318 9
11318 145 87
145 11226 111
11226 3742 64
3742 10080 64
10080 6528 64
6528 2860 128
2860 9633 224
9633 11696 110
11696 4682 80
4682 5180 80
5180 4594 64
4594 2463 64
2463 531 32
531 7065 48
7065 2409 73
2409 10500 73
10500 2575 80
2575 1963 128
1963 2640 147
2640 6069 32
6069 11576 85
11576 9206 96
9206 2369 32
2369 3631 32
3631 1205 37
1205 9057 50
9057 10343 28
10343 9341 159
9341 3729 115
3729 6699 9
6699 9204 72
9204 7064 69
7064 11269 32
11269 9743 32
9743 8786 32
8786 5592 32
5592 5365 32
5365 2530 32
2530 5865 32
5865 7934 64
7934 9979 32
9979 11098 32
11098 1862 164
1862 8079 64
8079 10215 96
10215 1720 147
1720 3650 32
3650 88 32
88 1844 32
1844 439 132
439 10871 64
10871 2438 64
2438 8745 32
8745 4049 64
4049 11239 128
11239 5052 32
5052 7554 144
7554 3738 48
3738 2437 32
2437 286 32
286 2056 48
2056 2094 80
2094 1021 96
1021 7397 136
7397 10946 36
10946 11498 43
11498 6814 32
6814 8107 64
8107 10436 136
10436 4893 32
4893 7871 28
7871 2142 50
2142 8958 96
8958 719 96
719 11067 62
11067 11137 145
11137 5334 32
5334 5003 32
5003 23 32
23 8789 64
8789 5825 44
5825 7981 150
7981 3588 32
3588 616 96
616 6898 96
6898 490 48
490 457 128
457 7047 112
7047 554 96
554 3026 96
3026 8527 96
8527 2690 64
2690 10238 111
10238 10575 154
10575 9928 87
9928 8456 142
8456 8850 32
8850 9031 32
9031 445 33
445 229 81
229 684 124
684 9577 147
9577 4313 32
4313 4609 64
4609 4560 32
4560 9714 32
9714 5875 43
